,Sterman,NE_MBB trf_linear ,NE_MBB trf_linear (constrained),NE_MBB trf_soft_l1 ,NE_MBB trf_soft_l1 (constrained),NE_MBB trf_huber ,NE_MBB trf_huber (constrained),NE_MBB trf_cauchy ,NE_MBB trf_cauchy (constrained),NE_MBB trf_arctan ,NE_MBB trf_arctan (constrained),NE_MBB dogbox_linear ,NE_MBB dogbox_linear (constrained),NE_MBB dogbox_soft_l1 ,NE_MBB dogbox_soft_l1 (constrained),NE_MBB dogbox_huber (constrained),NE_MBB dogbox_cauchy ,NE_MBB dogbox_cauchy (constrained),NE_MBB dogbox_arctan ,NE_MBB dogbox_arctan (constrained)
forest_start,2.1,2.3586919181008088e-32,1.1000000000000003,0.008713299102746411,1.110460833473738,0.0038278633059585297,1.1000000000000003,1.631978003401957,2.185561669529277,2.112441309879241,2.10204835203309,222.90470333347562,2.099897041967297,249.78170599176403,2.0999918108903164,2.099974166661255,249.99948383557148,2.0999967950037948,249.99999691045147,2.0999989102148975
soil_start,129.3,118.44626530779178,128.30000000000004,113.42991571097006,128.30021611918443,113.35691362068125,128.30000000000004,112.98516315543122,129.17687905108323,117.90310591204097,129.29530960183504,235.2292840479185,129.29945378940945,249.9952265532459,129.29999443386114,129.29999013700734,249.9990062998527,129.2999995970961,249.99997763717468,129.29998764735922
B,1437.04,383.6539044876273,424.3197542221752,305.1378588134236,999.8188839295071,296.58479666593644,474.449846877187,458.4283213953694,123.3119211048611,79.44756124026296,7.811646188549972e-08,479.32505171507046,344.30462834707566,550.1678348908811,441.4564760428692,882.1518653502953,442.13693834519336,682.2847773359078,443.19509451175134,500.18758404456867
phi_ab,0.140193,9.437211917153263e-08,0.0037220078884249727,7.407460527905631e-06,0.012369959593123071,4.190833150982343e-06,0.0010482724691187383,5.67662060005967e-07,0.10356849268120362,0.16047620331387688,4.786509493824451e-08,0.0,0.19354488544387966,0.5,0.22526098505402434,0.4348555014770781,0.2265575214247427,0.5,0.22973329150192917,0.1442760508251449
k,0.00342002,0.005876763852276683,0.005237404496822628,0.007350641062559101,0.0022281817860790904,0.007531067422524463,0.004675323515615815,0.004810933616773112,0.007577906952384838,0.0015218022015716494,0.0008643106755010534,0.05,0.0,0.0,0.006358696686349609,0.003400991941503429,0.028171880793752026,0.001336999339913101,0.02784611124992523,0.024809441034799307
v,0.0899299,1.3714963474631918,1.3303106810787302,1.1770659906845937,0.8732116908078288,1.2002600590463677,1.3684625803584072,1.3435185948957469,1.4999996898828252,1.4999999999999998,1.642139257034644e-07,0.12284177272245328,0.7171299603279393,0.27973376513781995,0.7417486044941005,0.07188210848410935,0.7549654300629576,0.08028513843081911,0.7482158956439203,1.4999999995548066
phi_ba,0.0190583,1.2445108170702533e-09,1.6656193590127483e-10,3.180341982327348e-09,0.010546387635243987,1.3051248272132095e-07,7.569729431526082e-15,0.004789444578173924,0.01060156799011109,0.006184675412030652,0.0013317383181421756,0.04497301688637576,0.05,0.05,0.036145653820723794,0.04967375734374067,0.0,0.04268570756595766,0.0,0.03176588121887323
phi_bs,0.0117339,0.007536179520882591,0.011020921091207045,0.004719557269037136,0.009213586553863923,0.0045636174992677025,0.009253042645245879,0.00313011089923531,0.01832510303832283,0.019999999999999997,1.799697957133014e-10,0.012128747050402426,0.016731528886318296,0.005378729426297445,0.0075953680678752,0.008657421073596757,7.461717049666065e-17,0.0199970573967373,1.9057414132609205e-20,0.004255820304641683
phi_sa,0.0101687,0.005942356419792384,0.009619116445196637,0.0031634568038484074,0.0079760741146809,0.0030329284406679985,0.00800741811713816,0.0018199510985256976,0.01414419598344327,0.010235852239770325,0.0015253113701215782,0.02,0.02,0.019999999999816193,0.02,0.007568231625581542,0.018372285511328287,0.013038869996013348,0.01796723815718102,0.02
RMSE,4.794936829038761,3.758347846056302,4.527810768150855,4.063343991070705,4.754019930971026,4.088614070821563,4.744795621880862,4.532147947124607,21.48801006771225,36.85070996590056,77.6406939783331,76.56265808099941,38.826256789289666,194.1776566716922,138.5125766552751,5.902643845444087,237.77541458830666,15.144483411164309,238.3594066443213,207.40313878896777
