,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,NE_MBB trf_linear _biomass,NE_MBB trf_linear _soil,NE_MBB trf_linear (constrained)_biomass,NE_MBB trf_linear (constrained)_soil,NE_MBB trf_soft_l1 _biomass,NE_MBB trf_soft_l1 _soil,NE_MBB trf_soft_l1 (constrained)_biomass,NE_MBB trf_soft_l1 (constrained)_soil,NE_MBB trf_huber _biomass,NE_MBB trf_huber _soil,NE_MBB trf_huber (constrained)_biomass,NE_MBB trf_huber (constrained)_soil,NE_MBB trf_cauchy _biomass,NE_MBB trf_cauchy _soil,NE_MBB trf_cauchy (constrained)_biomass,NE_MBB trf_cauchy (constrained)_soil,NE_MBB trf_arctan _biomass,NE_MBB trf_arctan _soil,NE_MBB trf_arctan (constrained)_biomass,NE_MBB trf_arctan (constrained)_soil,NE_MBB dogbox_linear _biomass,NE_MBB dogbox_linear _soil,NE_MBB dogbox_linear (constrained)_biomass,NE_MBB dogbox_linear (constrained)_soil,NE_MBB dogbox_soft_l1 _biomass,NE_MBB dogbox_soft_l1 _soil,NE_MBB dogbox_soft_l1 (constrained)_biomass,NE_MBB dogbox_soft_l1 (constrained)_soil,NE_MBB dogbox_huber (constrained)_biomass,NE_MBB dogbox_huber (constrained)_soil,NE_MBB dogbox_cauchy _biomass,NE_MBB dogbox_cauchy _soil,NE_MBB dogbox_cauchy (constrained)_biomass,NE_MBB dogbox_cauchy (constrained)_soil,NE_MBB dogbox_arctan _biomass,NE_MBB dogbox_arctan _soil,NE_MBB dogbox_arctan (constrained)_biomass,NE_MBB dogbox_arctan (constrained)_soil
0,2.1,129.3,2.1,129.3,2.3586919181008088e-32,118.44626530779178,1.1000000000000003,128.30000000000004,0.008713299102746411,113.42991571097006,1.110460833473738,128.30021611918443,0.0038278633059585297,113.35691362068125,1.1000000000000003,128.30000000000004,1.631978003401957,112.98516315543122,2.185561669529277,129.17687905108323,2.112441309879241,117.90310591204097,2.10204835203309,129.29530960183504,222.90470333347562,235.2292840479185,2.099897041967297,129.29945378940945,249.78170599176403,249.9952265532459,2.0999918108903164,129.29999443386114,2.099974166661255,129.29999013700734,249.99948383557148,249.9990062998527,2.0999967950037948,129.2999995970961,249.99999691045147,249.99997763717468,2.0999989102148975,129.29998764735922
5,9.5,112.3,13.615317262905565,123.2548886994719,12.249227954414438,115.15381947702784,13.141531856752202,122.57155534110667,12.19745083952441,111.76302499707703,13.109238219398634,123.53654206744349,12.151332414608627,111.75989214358233,13.096485609680714,123.51725792167211,13.534807632113768,112.06130078033368,9.35272392593428,120.72986991076193,5.141619750727655,112.30181650672405,2.0880886892444166,128.3122351417097,178.02864947384663,224.47122987081917,4.054814943623907,117.10134087627308,307.3813025286941,233.09054988563818,26.33538225501315,117.2605289276923,9.546752847709392,124.6941123540538,361.103972607833,227.86222798827868,6.101635693311733,121.4373201994572,361.81197053223434,228.33361526190143,89.10369988420848,117.57400308563906
15,33.7,100.6,34.51318741763265,113.89433299465817,34.95850762159638,110.16270120243883,35.55886970923506,113.7694814373061,34.78200614348364,109.32988449471874,35.29401862224164,116.11257618994112,34.70694568656934,109.43155236047123,35.342084184254205,116.06873331412932,35.599031416276624,110.77390796499782,33.74831854093196,108.03729881256015,21.784057331698207,103.4568114126245,2.060446865567784,126.36845329779122,126.5776687614525,200.1253723529361,14.206003623246485,96.87837131974568,359.80789567114937,207.0402387049901,143.96441889756298,100.91285082128411,28.021817061038735,117.04657898577203,433.3196295612167,189.29557137657034,19.28959342111283,108.68738499484775,434.38739224959,190.47133220491853,335.84119338941707,104.08608079710051
25,55.0,100.3,53.995153450410946,107.71260246019295,55.26760687888215,107.04616920819414,55.716319156729746,108.03524482989138,54.97232617083378,107.97267001217354,55.210717543227034,111.13896716539416,54.90636383307023,108.1400328761785,55.29372611472576,111.08714480419012,55.38734299827128,110.16257109735302,68.26908254780885,102.21737504105974,55.029779058134885,100.37353683483688,2.033170960455873,124.45411749893215,103.79371745019066,176.2042509997218,42.26533912444218,83.02563753629099,373.31445808277977,187.2548991522306,279.418206903395,97.25051537958987,49.403805358892185,111.63521558752981,441.31637162942843,157.2564863388657,38.756375409357204,100.57036171645017,442.3802183922079,158.8873734176354,426.210754854009,100.31881805555685
35,74.5,102.8,71.93894610850512,104.238467577665,73.29862338958522,105.52319366259772,73.68439261892111,104.85034338583323,72.91394237270269,107.54918554635151,73.00661656767312,108.23149657288191,72.8727181811332,107.75040742964671,73.08327011287221,108.18211179938507,73.04224937794662,110.14629052376104,92.51312265342787,102.58497481652134,69.74929637830564,102.76469806540764,2.0062561299303097,122.56878167163276,94.16779234284888,154.91058314332662,94.2893894251987,77.78082336898218,376.4324315003517,171.45620241979773,330.588943927757,100.93426236363248,70.90959373577877,108.43156434979768,442.06179613303914,130.64015346904586,61.451922369328905,97.46398800479467,443.12090663581705,132.5406670878696,434.5900999155537,98.77484015517584
45,89.5,106.2,88.1821595835633,103.02726084888766,89.2269718744968,105.34009069511866,89.59052822119787,103.75461889243898,88.79636547401675,107.9295962825559,88.83420254568455,107.04875678493387,88.78293908479543,108.13866996353893,88.87693757760539,107.00685899028699,88.73710356548717,110.65048400886135,100.86846625578212,105.69696741254914,71.38192657673535,106.24404216706904,1.9796975941366275,120.71200649989052,90.21307287445715,136.7825853235457,149.1328003454054,82.07656537139276,377.13377501677985,158.63132075325052,341.38585459159873,105.88668970235317,90.45160305332114,107.19789957070417,442.1300675735534,108.52874877058605,83.6981629118563,99.03362031373577,443.1883502968581,110.5627719448955,435.15438909415286,97.63743456473618
55,102.8,109.4,102.66181136568224,103.6642880414233,103.24465111014277,106.27141591780281,103.58986440114082,104.34527089218845,102.81722375593256,108.99718206201376,102.85201711049913,107.28944170574873,102.82766391344164,109.19285347545016,102.85091267593576,107.25675551415762,102.65153573742747,111.60742344432553,102.85988660490708,109.21428580075379,71.50624009143503,109.5084712094632,1.9534906364953988,118.88335932283186,88.61040153071414,121.67283616840206,182.56817118949326,92.57984890279513,377.29060876093206,148.17125855326495,343.33092832638545,110.3147976971885,106.96011566928344,107.57814426991166,442.1363101889308,90.1597938837374,102.9538449469229,104.37370975014255,443.19448149638134,92.22925166081157,435.191382215593,96.71635350377477
65,114.8,112.6,115.40462891037879,105.77292004405011,115.54409618840391,108.11893958295674,115.84994038043268,106.27368942962998,115.16869756879663,110.64797698519303,115.22039468822867,108.68963364921888,115.195507358626,110.81292001059774,115.18026912388353,108.66644277490481,114.96097782731086,112.95613930551463,103.28507416825609,112.45031064798762,71.51536203495928,112.46312338203725,1.9276306028646084,117.08241403389465,87.96480175261925,109.206696859508,196.8156838985636,104.77395058884753,377.32563369499667,139.62882764807742,343.67075964083125,114.00068259989735,120.19595709899268,109.1866258363127,442.1368809170934,74.89986317211755,118.22916103002143,112.34828724826166,443.1950387924054,76.93579594904536,435.193803025097,95.96430443007476
75,125.5,115.3,126.50074516508938,109.01962334359942,126.30994796596019,110.70979697015261,126.54096273938607,109.24126585209133,126.03148969930487,112.78997290499076,126.09718076370118,111.01990666029393,126.06573398384614,112.91014351123823,126.0330838108367,111.00643556925057,125.83155811092018,114.64208761217128,103.3736014995675,115.29588871907589,71.51602952951473,115.12958668545407,1.9021129007131181,115.30875098153798,87.70538711774286,98.97251952362065,201.9502305749526,116.16211981555203,377.33345335023625,132.649977820395,343.7298112280923,117.02413501437458,130.4191200236642,111.66718723377889,442.13693309493436,62.22274099734646,129.64047410923638,121.88018939202466,443.1950894472094,64.17830126261546,435.1939614229065,95.34986099744079
85,135.2,117.7,136.07914071349546,113.11557668464573,135.71481058103544,113.89428960707394,135.82930725706058,112.99473064330219,135.5722156279738,115.34214841334027,135.63431561789469,114.08230492431345,135.60482200656722,115.40627034570593,135.56723155650465,114.07958091985904,135.41764417336393,116.61670577480537,103.39193581050341,117.77180022298433,71.51607836319585,117.53539976233222,1.8769329983050684,113.56195687145605,87.60125557588913,90.590999027671,203.68650550270036,125.96565213308197,377.3351990494239,126.94795885199787,343.74006275981196,119.49656813299649,138.10822745956077,114.7214222575086,442.13693786519786,51.69127596836712,137.82411468320814,132.0999832655286,443.19509405141605,53.53625451126742,435.19397178707317,94.84781829451815
95,143.8,119.8,144.28839841073605,117.81564044308263,143.91726444883264,117.5435849803379,143.873243183633,117.32134869587173,143.94255751633045,118.2334480215212,143.97539395015326,117.70728991312875,143.9650785507928,118.2325965970896,143.92875881100233,117.71757437494327,143.86085105959071,118.83692279403543,103.39572871495186,119.92066891473834,71.51608193579847,119.70599977423738,1.8520864238950814,111.84162467027336,87.5594733882533,83.73487962177964,204.26086608018295,134.1427421505373,377.3355887623912,122.28904096672707,343.7418421638096,121.51708227163095,143.78324739045655,118.11527151223385,442.13693830131047,42.942306436674656,143.53379873205245,142.37992574947225,443.1950944699097,44.65887209085032,435.19397246521316,94.43761300568447
105,151.3,121.6,151.28288402360394,122.91555282964545,151.0612214204587,121.54745244722889,150.82028359469732,122.04418878472715,151.27937989231395,121.40177624989946,151.25410096141752,121.75074215638892,151.28440264722786,121.32903640013744,151.25124638018792,121.77764384362912,151.2899031354186,121.2646606236182,103.39651319131431,121.78457960660998,71.51608219716472,121.66438012871481,1.8275687649341121,110.147353510699,87.54271130150244,78.12979864958739,204.44947738017868,140.87904086933526,377.3356757623173,118.48237629150441,343.74215101407077,123.16805126890617,147.91606589848942,121.6738605159619,442.13693834118124,35.67413741594904,147.4447558095417,152.30662788629792,443.1950945079482,37.25353733902282,435.19397250958474,94.10244542885773
115,157.9,123.4,157.21350338722542,128.24809389853846,157.27608919690496,125.8121123334807,156.80573961954124,127.01761058098009,157.70537410605743,124.7930408388621,157.59336790371262,126.09108513925713,157.68670086540865,124.64322215070642,157.65580555223767,126.13946060652813,157.82099979635908,123.86634799222524,103.39667543480105,123.4010898063075,71.51608221628588,123.43128932752153,1.80337566728582,108.47874859811749,87.53598717160418,73.54878285841806,204.5112652030944,146.40113524892993,377.3356951842567,115.37205643070449,343.74220462079063,124.51702387487616,150.89740111437092,125.27159599994451,442.13693834482626,29.636137086598637,150.09098178453786,161.63296027939418,443.19509451140567,31.076155292204618,435.19397251248796,93.82858911673137
125,163.7,124.8,162.2219950901698,133.6787772689661,162.67741534636602,130.25823912911824,161.95215369967312,132.1230598501982,163.32998208291986,128.36026239511637,163.1050854975679,130.6265792609944,163.28266581681075,128.12965856315387,163.25147741439207,130.70230641537165,163.5584721980469,126.61245886028637,103.39670898927461,124.80298983720171,71.51608221768477,125.02544751935999,1.779502834453306,106.83542111859481,87.5332898513813,69.80525536797633,204.5314904814434,150.9189986093984,377.3356995200267,112.83069917192928,343.74221392522804,125.6192345714109,153.03371957039911,128.82151264213113,442.13693834515954,24.62009413640376,151.8669352634378,170.2305011020243,443.1950945117199,25.92310681685587,435.193972512678,93.60482857114086
