,Sterman,SC_OH trf_linear ,SC_OH trf_linear (constrained),SC_OH trf_soft_l1 ,SC_OH trf_soft_l1 (constrained),SC_OH trf_huber ,SC_OH trf_huber (constrained),SC_OH trf_cauchy (constrained),SC_OH trf_arctan ,SC_OH trf_arctan (constrained),SC_OH dogbox_linear ,SC_OH dogbox_linear (constrained),SC_OH dogbox_soft_l1 ,SC_OH dogbox_soft_l1 (constrained),SC_OH dogbox_huber ,SC_OH dogbox_huber (constrained),SC_OH dogbox_cauchy ,SC_OH dogbox_cauchy (constrained),SC_OH dogbox_arctan ,SC_OH dogbox_arctan (constrained)
forest_start,4.2,5.429455926363461,5.0872772233948265,88.49855631310615,5.19999990377861,88.49987929084088,5.199999999999999,5.199999999999999,47.54388962527912,4.23332363463176,249.99991376156058,4.199780226951768,249.99998875237443,4.32048312546065,194.16747983624904,5.2,249.78942122648226,4.199999323296493,249.9999166823046,4.199997366907995
soil_start,56.3,50.74495608189079,55.300000000000004,54.60727173498671,55.300000000000004,54.699961501512924,55.300000000000004,55.300000000000004,44.07350125487242,56.16816956875484,249.99993168942655,56.3004160162608,249.99999494915042,55.30000000020881,188.39536397597698,55.3,251.5909056307262,56.299997290198775,249.99984344029878,56.29996459661496
B,294.396,525.9019507047403,258.6715555311672,62.648971111904636,909.2616555441281,1.1361270110965023,546.2942659813676,533.0605380728194,77.59777994917857,171.36843938169116,430.3425625846139,297.2396267232599,440.41511405787816,380.4776766203245,606.8145695024332,547.8289618529317,549.9557405975704,400.8018678970101,442.3318319783805,700.4003042394169
phi_ab,0.188609,0.0525499278396335,0.05204669016198816,0.027703093829361997,0.059549539655423644,3.6132152812125868e-12,0.053418135237230824,0.05299184175405819,6.53053044619147e-13,0.2950115100161877,0.22495505971677895,0.1708154567122371,0.22873599399570474,0.06657245885768794,0.5,0.05338008864729522,0.15320137339592885,0.5,0.22933448503107923,0.21324704084702983
k,0.0192067,0.0029864066788642283,0.007955571156798314,8.84542871498294e-05,0.001718260362591539,2.6314181627115614e-09,0.002925377707872146,0.0029864497243440565,4.172950591720453e-12,0.04909719225205557,0.02820958897544282,0.0,0.02773374893231914,0.0035589822903675096,0.05,0.0029191167673862164,0.03555775328268724,0.021139661732009724,0.027817236989274186,0.025169255142993004
v,0.079026,1.4999999999999998,0.32675595426199305,4.168191049186908e-09,0.8643512279725731,2.3139229343909078e-09,1.4999999999999998,1.4999999999999998,2.9888596472515266e-08,0.06292414225770228,0.7471063612306588,0.7248135256204923,0.7476266142928587,1.4999999485219253,0.026195953963171464,1.5,1.0337208065461252,0.3198872776709585,0.7482510432206372,0.7925670581187977
phi_ba,0.0,0.04999655653654491,1.2289305509251233e-11,3.178948164139064e-19,0.04999969189288062,3.116733132940818e-33,0.04999999987554669,0.04999999999938492,3.3628765065465096e-10,1.1058818509166582e-37,1.8899314450271275e-10,1.0395919528782382e-07,1.793868261184995e-09,0.05,0.05,0.05,0.05,0.001153594087105091,0.0,3.288987286518395e-08
phi_bs,0.00564449,0.0024323793644400946,0.0048341034690944605,1.3483391473303473e-10,0.004176245890465857,3.5308202606185317e-09,0.0039990472998068394,0.0032487356147401277,0.005125049945665993,0.003515320370409905,0.0008725492710021318,0.012312628170276526,0.0,0.008867865269934948,2.2236735780633455e-13,0.00399984246236915,0.0005688737874077726,0.0023847137787310567,0.00031252941531161114,0.0018555344474235963
phi_sa,0.00700899,0.001331958321581772,0.005747386791537226,7.526326264006477e-19,0.004782927672726916,2.4137147013840285e-14,0.004521089380552112,0.0034889102746747734,9.486655171818635e-05,0.0036563713139262603,0.02,0.02,0.018650671767386814,0.011269659811671145,0.02,0.004520871255318407,0.02,0.014107429563728258,0.017918279479711113,0.02
RMSE,1.944935667861958,1.3864329162052225,1.7752657635615128,32.73945591765199,1.8183665688643762,32.74014260692725,1.8322091397241347,1.9802444845679839,49.028893501396546,9.64105707534182,243.36445844830115,85.86916840692821,250.62626443077653,3.0597850771110817,70.63796559576542,1.8324330763461705,241.64288216590842,187.77234761341418,252.02165304798044,381.71952835352994
