,Sterman,SE_LSP trf_linear ,SE_LSP trf_linear (constrained),SE_LSP trf_soft_l1 ,SE_LSP trf_soft_l1 (constrained),SE_LSP trf_huber ,SE_LSP trf_huber (constrained),SE_LSP trf_cauchy ,SE_LSP trf_cauchy (constrained),SE_LSP trf_arctan ,SE_LSP trf_arctan (constrained),SE_LSP dogbox_linear ,SE_LSP dogbox_linear (constrained),SE_LSP dogbox_soft_l1 ,SE_LSP dogbox_soft_l1 (constrained),SE_LSP dogbox_huber ,SE_LSP dogbox_huber (constrained),SE_LSP dogbox_cauchy ,SE_LSP dogbox_cauchy (constrained),SE_LSP dogbox_arctan ,SE_LSP dogbox_arctan (constrained)
forest_start,4.1,4.089084454248393,4.04010057582377,4.158517169662569,3.258658731552171,129.6999999108036,4.1305410649447305,358.78960139934554,4.427011574554367,1.5008233370349588,4.101051200968297,234.83198625389977,4.122144883233617,249.99997481020702,4.09999004085384,193.53016954035402,4.099917183174283,249.59164799244465,4.099999591140954,249.99981225010967,4.099999358304979
soil_start,143.3,139.90834664175182,142.30000000000004,136.61608143503568,142.4613435984714,130.55294117896818,142.30000000000004,195.67411104493308,142.30001060669966,143.2626219519521,143.26462104443758,242.97584840927448,144.3,249.99999761906466,143.3000046254939,193.52881208527785,143.30001131892357,249.01560146633133,143.30000208834397,251.74600366156022,143.29998813993387
B,136.134,158.40874817561627,159.69289514682416,166.17283790442332,972.5967950093537,18.351984021782407,137.67271711039388,134.357100979261,0.15624649449194908,132.88790630174796,6.447134545069152e-08,232.11018413118538,463.6273545766656,439.3836954752259,438.8629755598391,484.84348111406445,410.9254535780685,549.0402105739715,513.5790343680756,548.8986948928904,423.5426205871618
phi_ab,0.19312,0.2613991793308608,0.26204073975364583,0.27286956277743635,0.021050552230298572,0.0010867638694760755,0.23301095640731873,0.4927831877314884,0.0007688781301268266,0.49999996378988654,3.8986937458727375e-09,0.0,0.24901401057438038,0.22812973895203006,0.22259893770548864,0.23081340945527765,0.5,0.39071162641049767,0.2717645563243775,0.2680983108852216,0.0323086806843284
k,0.00353541,0.0010059482961871965,0.0011184873878585936,0.0007908751206322594,0.00875457660962327,0.0013520963571505733,0.0010723857794680404,0.018000902369095916,0.01222796038628103,2.2140429847464374e-22,4.3586068441280156e-05,0.035744893984226186,0.014121277812222085,0.027628608999389872,0.0,0.04280470582375491,0.0027769537028091555,0.006064532286480938,0.020992404821540942,0.02080779425788446,0.04369453382994674
v,0.95263,0.8133989502480015,0.8186137890468103,0.8114332872661191,0.48722056180361145,3.65138593076252e-10,0.816477870926197,1.0403511645885835,5.649057307661535e-14,1.4999999999999998,1.3751972958577544e-08,1.5,0.7534341479871881,0.7477431839029016,0.7428773631019474,0.7671917118176741,0.14737141745612337,0.4629798598724713,0.7426685418340616,0.7522829871859822,1.5
phi_ba,0.0009154,0.036520862723688596,0.03722020094169135,0.0499649498196532,0.04999363407517975,4.560202914811935e-24,0.004435728773812705,0.0003187611956896056,1.6854704727854815e-08,0.002944178323596476,0.01697721826917294,0.041977137546143996,0.05,0.003568856810767468,0.04068903996069088,0.05,0.05,0.05,0.05,0.049999790167775685,0.008992480910023455
phi_bs,0.00774907,0.005903048531467745,0.007242638912766342,0.003920314727922184,0.00837090766771869,1.6872274218690623e-14,0.006630253578408061,0.016862367521162748,2.122486832525105e-19,0.011157957793920039,1.073567439306565e-05,0.011399909428778098,0.011772468541961229,0.004671109005734707,0.010372662519893678,0.0058798717682147375,0.01999999994950738,0.004594446453636345,0.004121952836268718,0.0005586935745580384,0.00813822535301985
phi_sa,0.00728868,0.00552510484084919,0.006805342971562394,0.003652209654781519,0.007876511253976166,4.978042882477095e-16,0.006324913759909192,0.01933715374202587,0.001222243391611808,0.011012286068722569,0.003792618965751402,0.01999999999999997,0.01999999999999994,0.019999999998409602,0.019649929285648543,0.02,0.018128456232715657,0.01988188088045307,0.012198815229598318,0.019999046508134385,0.016649071848935024
RMSE,1.302231913592771,1.045124367754467,1.1500573520506245,1.240611349305699,8.572412500485505,34.43466294657569,1.1912159147896784,62.353389249254754,77.89595854241304,15.264249436670324,80.28240932416706,63.835218895090094,136.2092665594362,217.04372867072658,103.58847385939927,181.8843371256185,19.5435582970607,209.72524353555158,180.0169243530183,228.35215067197643,153.78026300366028
