,Sterman,NE_MBB trf_linear ,NE_MBB trf_linear (constrained),NE_MBB trf_soft_l1 ,NE_MBB trf_soft_l1 (constrained),NE_MBB trf_huber ,NE_MBB trf_huber (constrained),NE_MBB trf_cauchy 
forest_start,2.1,2.3586919181008085e-32,1.1000000000000003,0.008713299102746411,1.110460833473738,0.0038278633059585297,1.1000000000000003,1.6319780034019569
soil_start,129.3,118.44626530779179,128.30000000000004,113.42991571097006,128.30021611918443,113.35691362068123,128.30000000000004,112.98516315543121
B,1437.04,383.65390448762736,424.3197542221752,305.13785881342363,999.8188839295073,296.58479666593644,474.449846877187,458.4283213953693
phi_ab,0.140193,9.437211917153263e-08,0.0037220078884249727,7.40746052790563e-06,0.012369959593123071,4.190833150982343e-06,0.0010482724691187383,5.67662060005967e-07
k,0.00342002,0.0058767638522766825,0.005237404496822628,0.007350641062559102,0.002228181786079091,0.007531067422524462,0.004675323515615815,0.004810933616773112
v,0.0899299,1.3714963474631918,1.3303106810787302,1.1770659906845935,0.8732116908078288,1.2002600590463677,1.3684625803584072,1.3435185948957469
phi_ba,0.0190583,1.2445108170702533e-09,1.6656193590127483e-10,3.180341982327348e-09,0.010546387635243987,1.3051248272132097e-07,7.56972943152608e-15,0.004789444578173924
phi_bs,0.0117339,0.007536179520882591,0.011020921091207043,0.0047195572690371355,0.009213586553863923,0.004563617499267703,0.00925304264524588,0.00313011089923531
phi_sa,0.010168700000000001,0.005942356419792384,0.009619116445196635,0.0031634568038484074,0.0079760741146809,0.0030329284406679985,0.008007418117138159,0.0018199510985256976
RMSE,4.794936829038762,3.7583478460563016,4.5278107681508555,4.063343991070705,4.754019930971026,4.088614070821563,4.744795621880862,4.5321479471246064
