,Sterman,NE_OH trf_linear ,NE_OH trf_linear (constrained),NE_OH trf_soft_l1 (constrained),NE_OH trf_huber ,NE_OH trf_huber (constrained)
forest_start,2.1,1.028030715594973e-36,1.1000000000000003,1.1000000018762257,1.3324442237336058,1.522392212404342
soil_start,108.0,99.35253426564556,107.0,107.0,94.48779272344065,107.0
B,1358.99,999.9729774709546,999.9920847082836,999.9999999063773,934.406117700498,810.6875738890808
phi_ab,0.0665428,0.0009155518276774004,0.002186564328579373,0.006284347239843014,0.002984672528600123,0.0058461174397241075
k,0.00439655,0.0029220209896322303,0.002854831664573855,0.003179107140549286,0.003468941707176339,0.0036702452068815405
v,0.12064100000000001,0.924577227024548,1.0447995131237418,0.5291080233623,0.5315141120591726,0.6689328127065813
phi_ba,0.00680838,2.1607084845983838e-37,8.476895560804257e-40,1.3340371808629943e-18,1.0920247529877405e-07,1.5365232541975606e-07
phi_bs,0.00842004,0.006559359485634565,0.008122658750481,0.007253513718394498,0.004997332563649023,0.007142572549702245
phi_sa,0.0160806,0.012317948120323174,0.015653309463747867,0.014024767469452816,0.009171868037296554,0.013818548086923428
RMSE,4.334806466744688,3.5003775153916217,4.0130577546114425,4.193821759792735,3.9009858245612588,4.231045337610287
