,Sterman,NE_OP trf_linear ,NE_OP trf_linear (constrained),NE_OP trf_soft_l1 ,NE_OP trf_soft_l1 (constrained),NE_OP trf_huber ,NE_OP trf_huber (constrained),NE_OP dogbox_huber (constrained)
forest_start,4.2,1.709515963240419,3.2000000000000006,0.34032662330419355,3.2000000041964536,0.10332312355191116,3.2000000000000006,3.679123210254249
soil_start,126.6,116.78125124275287,125.6,112.43526885746974,125.60000000000082,112.3766887646356,125.6,125.6
B,338.89,999.7008541491916,994.9527239496007,245.82627704449646,999.998837867081,246.2314299968663,451.7042924825412,1000.0
phi_ab,0.160851,0.051999178498378616,0.08084061547701578,0.006357463629105413,0.05960939697358526,0.005822419118270745,0.031073675735015193,0.0684179933528222
k,0.00945311,0.0018974438921209188,0.0021041510055811613,0.007928627740249033,0.0019186619272649663,0.007971161046006658,0.004091101610420777,0.0019354599485390859
v,0.126451,0.5308065818632955,0.2806423545234676,1.3018102152862745,0.39971653196201823,1.3233205173777955,0.6590946884563145,0.3436947190228231
phi_ba,0.00403601,0.03318021027372328,0.028241433325541212,6.8506824929085626e-09,0.02875384141569012,1.0399547580173418e-14,0.010866490351276828,0.029460600869926145
phi_bs,0.0116687,0.007883948239487341,0.010830308470707912,0.005620562232362587,0.009409802717109521,0.005514792511669456,0.009453853789817541,0.009281130148939757
phi_sa,0.0103839,0.006521510280086968,0.009735850325250164,0.004196004274259246,0.008403601228553909,0.004099805620244838,0.008438741683149231,0.008296838344758516
RMSE,4.373412596873072,3.4417148948845604,4.126203570350873,3.706512251702101,4.299854884169601,3.7297831349666177,4.308648229957694,4.336335898279331
