,Sterman,SC_OH trf_linear ,SC_OH trf_linear (constrained),SC_OH trf_soft_l1 (constrained),SC_OH trf_huber (constrained),SC_OH dogbox_huber (constrained)
forest_start,4.2,5.429455926363461,5.0872772233948265,5.19999990377861,5.199999999999998,5.2
soil_start,56.3,50.74495608189079,55.3,55.3,55.3,55.3
B,294.39599999999996,525.9019507047403,258.6715555311672,909.261655544128,546.2942659813676,547.8289618529317
phi_ab,0.188609,0.0525499278396335,0.052046690161988166,0.05954953965542365,0.05341813523723082,0.05338008864729522
k,0.0192067,0.0029864066788642283,0.007955571156798314,0.0017182603625915391,0.002925377707872146,0.0029191167673862164
v,0.079026,1.4999999999999998,0.32675595426199305,0.8643512279725731,1.4999999999999998,1.5
phi_ba,0.0,0.04999655653654491,1.2289305509251232e-11,0.049999691892880616,0.04999999987554669,0.05
phi_bs,0.00564449,0.0024323793644400946,0.0048341034690944605,0.004176245890465857,0.0039990472998068394,0.00399984246236915
phi_sa,0.00700899,0.0013319583215817721,0.005747386791537226,0.004782927672726916,0.004521089380552111,0.004520871255318407
RMSE,1.944935667861958,1.3864329162052225,1.7752657635615128,1.818366568864376,1.832209139724135,1.8324330763461705
