,sterman_biomass,sterman_soil,SC_OH trf_linear _biomass,SC_OH trf_linear _soil,SC_OH trf_linear (constrained)_biomass,SC_OH trf_linear (constrained)_soil,SC_OH trf_soft_l1 (constrained)_biomass,SC_OH trf_soft_l1 (constrained)_soil,SC_OH trf_huber (constrained)_biomass,SC_OH trf_huber (constrained)_soil,SC_OH dogbox_huber (constrained)_biomass,SC_OH dogbox_huber (constrained)_soil
0,4.2,56.3,5.429455926363461,50.74495608189079,5.0872772233948265,55.3,5.19999990377861,55.3,5.199999999999998,55.3,5.2,55.3
5,13.867597529417536,54.581324506351606,14.347021124088164,50.5168806642517,14.203359737074948,53.93831628646989,14.143834331941635,54.17153352662291,14.23992636735433,54.23588710291082,14.244032400256796,54.236016511525634
10,23.285037399555897,53.186634935796796,23.45845345861148,50.399461588779886,23.398960507949266,52.833486282513405,23.341104606434172,53.25699130894932,23.451412828679906,53.37616228500674,23.45797217854595,53.37652113734828
15,32.7509869530371,52.102637139597746,32.724965969118905,50.39413511150971,32.74846934410722,51.981270411824866,32.72306843729292,52.555988506698846,32.79562358300651,52.71934967052866,32.80309170756927,52.720004602500104
20,42.26746660698928,51.3201830596492,42.099413786505494,50.50181663662468,42.21067742124836,51.37786554571311,42.215791331819794,52.066678108543556,42.22593236113021,52.26317434551021,42.23293824395385,52.264161835585185
25,51.78229210641342,50.82972935362047,51.52697069585333,50.722805319356006,51.71576229496914,51.01825283186452,51.743146402546365,51.78570529162972,51.68867444930097,52.00443067370541,51.69408515306785,52.005761479603784
30,61.22972854451507,50.620413089111366,60.946440584741325,51.05670083379334,61.18602559420562,50.89578890666977,61.22922711165239,51.708218185914625,61.124486193392755,51.93887357407916,61.127464620794676,51.94053827825798
35,70.54363816037728,50.67989515520439,70.29206931447914,51.50233911087626,70.54446638457523,51.00215791682765,70.60059306581631,51.82792683516009,70.47008402603666,52.06114241533302,70.47013384424814,52.06311787721128
40,79.66297158938046,50.994471330799854,79.49576506366051,52.05775257093912,79.71932536942872,51.32748426734879,79.78830969633576,52.137205638013256,79.66038868232494,52.36472478646442,79.6573810260483,52.366981189572456
45,88.534262515703,51.549293432335155,88.48959404341747,52.720159042166976,88.64671406157267,51.86053018048921,88.72969135256113,52.6272332305581,88.63086754422352,52.84196514005479,88.62504562436456,52.84447323449705
50,97.1126590182513,52.32863379934759,97.20837545452812,53.48598169411022,97.2720769417305,52.58893834488892,97.36967039065077,53.28816210351891,97.31993351297217,53.48412038352275,97.31189349581966,53.48685847387298
55,105.36213315876113,53.31615916563094,105.59217453529699,54.35090001903753,105.5508364397226,53.49949425828309,105.66174552069825,54.10930906895769,105.67122068653211,54.28146106709592,105.66186985003672,54.28442129423274
60,113.25519506630778,54.49519480501947,113.58849412589129,55.30992943365189,113.4484349219408,54.57839038867911,113.56849763421236,55.079357225147355,113.63556227601568,55.22341328815028,113.6260580505283,55.22660680404092
65,120.77230459969543,55.848967861182906,121.15399500643856,56.357524787799775,120.93993333274427,55.811479298587244,121.06169398034592,56.186560325330646,121.17252529096588,56.29873327773442,121.16420089112776,56.30219400912258
70,127.90110710064535,57.360823691625434,128.255628603946,57.48770127955786,128.0092974309852,57.18450675547083,128.1220279400428,57.418941335030745,128.25140491194486,57.495704293126465,128.24568850539913,57.49949111953884
75,134.63558083085246,59.014412313675464,134.87113274877487,58.694165225638635,134.64848155683504,58.68331902649032,134.73855969647485,58.764478299087756,134.85164057067604,58.80234421061511,134.8499751389681,58.806541524808
80,140.97515787590237,60.79384426854676,140.9889098642489,59.97044692612834,140.85640089588603,60.294041163051816,140.90793235133802,60.211272244224006,140.9626753083203,60.20661220162176,140.96644558749702,60.211328956155135
85,146.92386170478633,62.68381674172198,146.60736591213526,61.310028449731725,146.63786503575227,62.00322516882074,146.6334392778783,61.74769353218525,146.58333056294194,61.69660398617972,146.59380194482813,61.70197144089819
90,152.4894905899045,64.66971178557422,151.73382954955537,62.70646038300658,152.002528470942,63.79796854840735,151.92401334240375,63.36250469709412,151.72080360880014,63.26072713000759,151.73907598462827,63.266895590574514
