,Sterman,SC_OP trf_linear ,SC_OP trf_linear (constrained),SC_OP trf_soft_l1 (constrained),SC_OP trf_huber (constrained),SC_OP trf_cauchy (constrained)
forest_start,4.2,3.652564809398788,3.5322130417788533,3.7809196187842575,3.76147357305064,4.028224778504402
soil_start,64.4,59.953954540790605,63.40000000000001,63.40000000000001,63.40000000000001,63.40000000000001
B,601.5409999999999,207.30736801679683,233.28098506026836,964.1851736075294,221.55547580934797,213.06351863645858
phi_ab,0.0255501,0.0036703035869618287,0.0034350010769452137,0.04394701493644546,0.004729925417093532,0.009802692719054784
k,0.00319981,0.009434343447908134,0.008454653434986723,0.00205550554109298,0.008819816537930285,0.009305943297701392
v,1.07631,1.228228997194642,1.3055611980483184,1.2787184025548284,1.2000032961578149,0.8938429337169985
phi_ba,0.0244426,3.0821206591347554e-07,1.0534436669224248e-07,0.04999628464325445,5.6899567134109005e-06,1.4568547683815733e-09
phi_bs,0.00465856,0.0019923580202983976,0.0039583501480554666,0.0034271311812973143,0.0032960581140486413,0.002872399842080989
phi_sa,0.00488477,0.000929724091266599,0.003918404007483565,0.0032900133712467808,0.003134439943808914,0.0026506176833088714
RMSE,1.5016858705743343,1.0456393944311904,1.3318511995861757,1.3622452345203555,1.3767617544171078,1.4506325567737597
