,sterman_biomass,sterman_soil,SC_SLP trf_linear _biomass,SC_SLP trf_linear _soil,SC_SLP trf_linear (constrained)_biomass,SC_SLP trf_linear (constrained)_soil,SC_SLP trf_huber (constrained)_biomass,SC_SLP trf_huber (constrained)_soil,SC_SLP dogbox_linear (constrained)_biomass,SC_SLP dogbox_linear (constrained)_soil,SC_SLP dogbox_huber (constrained)_biomass,SC_SLP dogbox_huber (constrained)_soil
0,4.1,74.5,4.01354449035815,71.49006523310746,3.9820897725987594,73.50000000000001,4.045756721290293,73.50000000000001,3.9820473023353142,73.5,4.045683591116006,73.5
5,16.025387191102624,69.53506787447591,14.920756057751696,67.78221449478137,14.911586271907911,68.92921791669934,14.934413833520903,69.26757834239197,14.91201433294782,68.92922945844846,14.93483149497406,69.26758883572998
10,39.126069389175946,65.489950974216,38.162205478491785,64.70456206637546,38.18177964845024,65.16822836306115,38.13807418131832,65.75673308468761,38.18134583049943,65.16823827774498,38.137684165849855,65.75674348639815
15,71.93281890251613,62.70188871147975,72.3557056205725,62.574875869455965,72.40225739763018,62.58387489428688,72.30402310026409,63.30720855959058,72.40235175555232,62.583873360249996,72.30412305172827,63.307209983754476
20,102.37948086522164,61.2716093887457,103.52619063164472,61.503632950010726,103.577353534029,61.291816943127614,103.48819277105959,62.0321468951975,103.57762213866582,61.291823588165066,103.48844473738356,62.03215564530625
25,120.86229787400758,60.851352310176104,121.70057456979788,61.20826474511774,121.73296764050801,60.93850803171143,121.69039967901838,61.61639580278437,121.73283154162384,60.938517332810704,121.69025753033337,61.61640655744507
30,129.19011681230992,60.95104402803065,129.60038601224394,61.301195978281136,129.61254158095477,61.050785857821026,129.60741368854008,61.6318945994562,129.61230673227908,61.0507880370041,129.60717602311286,61.631898613377295
35,132.40978680580804,61.2516164851889,132.57757731918088,61.54189852776129,132.57740692845042,61.33713848798765,132.5919969458238,61.81331435117485,132.577262232633,61.337134074257186,132.59184702096522,61.81331206084564
40,133.57770596585445,61.60936764610819,133.63725455679753,61.82573116389662,133.6310840128315,61.67145166592572,133.65445385553042,62.045211542580965,133.63103178608057,61.671444343944046,133.6543939480363,62.04520621619735
45,133.9913696357635,61.97005346688304,134.0066371092997,62.113890579548645,133.9978320277366,62.00736246606064,134.0248331043474,62.284739202734634,133.9978347076073,62.007354958148525,134.02482671067358,62.284733280183794
50,134.13663606719248,62.3152463490034,134.13445436445593,62.39316826810194,134.12455363525459,62.32940631805829,134.15300181606483,62.517270964293964,134.1245832940969,62.32940001913629,134.15302175193378,62.51726571870819
55,134.18749558389274,62.63958489416022,134.1785702670291,62.659529485987555,134.16822854633534,62.633146682117385,134.1972409200222,62.738294307566086,134.16827027538716,62.63314216331495,134.19727265180106,62.73829028330846
60,134.2052832720988,62.94227320160703,134.19378338307598,62.91211754410895,134.18326804267997,62.91793684799705,134.21249713061735,62.9467994140706,134.18331488326518,62.917934273392035,134.2125338647882,62.94679679280424
65,134.21150206265676,63.22404441401938,134.19902794444295,63.151147251895644,134.18844534609482,63.18438305902151,134.21775675301694,63.14295655908211,134.18849427511014,63.1843824144454,134.21779553393065,63.142955361621034
70,134.21367594534715,63.48609595954737,134.2008357621983,63.37717542980194,134.19022743292686,63.433469200395926,134.21956983225408,63.32731202154476,134.19027719397232,63.43347040131116,134.21960942975736,63.327312203388395
75,134.21443582814769,63.729721327334545,134.20145890048045,63.5908504022783,134.19084082560354,63.66625838357593,134.22019480813557,63.50051216970903,134.19089091198495,63.66626132193285,134.22023472539695,63.50051366275222
80,134.21470144171283,63.95618590550827,134.20167368788466,63.7928270309422,134.19105195221178,63.88379348477786,134.22041023720405,63.66321007303103,134.19110216397942,63.8837980482245,134.22045027788008,63.66321280282061
85,134.21479428520877,64.16668791558692,134.201747721903,63.98373879012993,134.1911246205981,64.08706601745659,134.22048449524348,63.81603499052148,134.19117488013777,64.08707209676693,134.22052458300846,63.81603888306243
90,134.21482673798673,64.36234879914285,134.2017732402883,64.16418943640109,134.191149632541,64.27700832923196,134.2205100918274,63.95958343818314,134.19119991011203,64.27701582091686,134.22055019739162,63.95958842245478
