,Sterman,SE_SLP trf_linear ,SE_SLP trf_linear (constrained),SE_SLP trf_huber (constrained),SE_SLP dogbox_linear (constrained)
forest_start,4.1,4.285854011136034,4.245148698385837,4.302984726779009,4.24513561300405
soil_start,105.5,102.08016963976101,104.5,104.50000000000028,104.5
B,147.342,146.682760967269,155.821667329267,145.54281019125415,145.92271728068002
phi_ab,0.18459,0.20864757815708013,0.2195464270342838,0.2047606463676134,0.2069008001488535
k,0.00507295,0.002979961193014352,0.002901335957306205,0.003075756156967007,0.003099234287418469
v,0.983193,0.902718927360198,0.9073464463227036,0.9158251048333512,0.9072045559695469
phi_ba,0.00118025,0.0023423318180547234,0.014241161629121427,4.4295331306885746e-07,0.0
phi_bs,0.00636347,0.00452915556089074,0.005804218866486637,0.00518093259779851,0.005804217317592586
phi_sa,0.00877681,0.006191644251654836,0.00801096530858443,0.007272796010746441,0.008010963229419944
RMSE,1.3063053185703943,1.0517399965643552,1.1561321601236838,1.203442048928978,1.1561309394170027
