,sterman_biomass,sterman_soil,SE_SLP trf_linear _biomass,SE_SLP trf_linear _soil,SE_SLP trf_linear (constrained)_biomass,SE_SLP trf_linear (constrained)_soil,SE_SLP trf_huber (constrained)_biomass,SE_SLP trf_huber (constrained)_soil,SE_SLP dogbox_linear (constrained)_biomass,SE_SLP dogbox_linear (constrained)_soil
0,4.1,105.5,4.285854011136034,102.08016963976101,4.245148698385837,104.5,4.302984726779009,104.50000000000028,4.24513561300405,104.5
5,15.23042208892007,101.19791505605131,14.426616141696675,99.13042663346208,14.414597533028655,100.59923587383881,14.460983983434367,100.95149814672516,14.414602625975736,100.59923722033146
10,37.310566628078476,97.55641566101528,36.19319944561715,96.59241107155054,36.21290507991285,97.26389024765965,36.18032850063381,97.89713705134373,36.21285201721626,97.26389163513471
15,70.97155669106098,94.92012249347124,70.9679355853939,94.74450441793718,71.01733213843072,94.84328526389638,70.893343944732,95.64989217658716,71.0173730048695,94.84328655397614
20,105.03011235282922,93.49538874519956,106.2021769206627,93.7680542003232,106.26432179272106,93.55944494858984,106.17229916758566,94.41286892423956,106.26435800778656,93.55944811172584
25,126.76308760154377,93.05793188738636,127.86907781552016,93.49912478825372,127.91246365837657,93.1912072678456,127.90807924754296,93.99523364352063,127.91240622655808,93.19121020152453
30,136.49639670837112,93.15358449321084,137.09098668173073,93.5992818135983,137.10804177660108,93.2972937605165,137.14862965526763,94.00555690393284,137.10797869764946,93.29729463945809
35,140.10563945276743,93.45899699555471,140.34949294499594,93.83919718821707,140.3499589039328,93.58077597970423,140.403397053365,94.17863663678598,140.34992733271534,93.58077527533277
40,141.34420668012706,93.82817229379614,141.42043300839703,94.12083080053284,141.41308531542924,93.91530714313406,141.46897569634288,94.40134788404774,141.4130777892839,93.9153057573287
45,141.75760214433404,94.20754210522142,141.76380493778458,94.40981932724064,141.7532170387006,94.256859777796,141.80925327175171,94.6341792658718,141.75322181525812,94.2568582781717
50,141.8942881288234,94.57923694231536,141.8730173323582,94.69507454639208,141.86116957815472,94.59139399904043,141.91704341809802,94.86442853244779,141.86117973477351,94.59139265253452
55,141.9393410991971,94.93777176317265,141.9076641511668,94.97322892166582,141.8953447213521,94.914784970431,141.95110073940978,95.08824941640086,141.8953570483169,94.91478388442827
60,141.9541756429899,95.28179121298416,141.91864662945153,95.24339234272007,141.90615499003164,95.22607516619554,141.9618527414157,95.30462477730495,141.90616815117912,95.2260743773492
65,141.95905853520452,95.61128744307285,141.92212699561273,95.50545790391482,141.90957361491718,95.52529941242253,141.96524631153974,95.51342730418713,141.90958708653872,95.5252989287574
70,141.9606655926982,95.92667802680526,141.92322983913232,95.75956187730179,141.9106546287365,95.8127934636415,141.96631731078924,95.7148039662585,141.91066821328934,95.81279328227396
75,141.96119448795557,96.22850251970831,141.92357929437813,96.00591242307209,141.91099645066632,96.08897547291376,141.96665530589434,95.90898162464882,141.9110100755939,96.08897558704064
80,141.96136854943057,96.51732329178499,141.92369002446875,96.24473543918309,141.91110453558028,96.35427735438692,141.96676197242104,96.09620588899277,141.91111817474962,96.35427775593048
85,141.96142583350647,96.79369362960342,141.92372511085284,96.47625755390699,141.91113871220182,96.60912356055296,141.96679563479896,96.27672204954216,141.91115235634086,96.60912424113216
90,141.96144468581727,97.05814795311008,141.92373622845705,96.70070088598258,141.91114951889506,96.85392483682777,141.96680625813894,96.45076928276484,141.91116316475305,96.85392578810557
